AB型血	AB型血 🆎
A型血	A型血 🅰
B型血	B型血 🅱
OK	OK 🆗 👌 👌🏻 👌🏼 👌🏽 👌🏾 👌🏿 🙆 🙆🏻 🙆🏼 🙆🏽 🙆🏾 🙆🏿
O型血	O型血 🅾
T恤	T恤 🎽
call	call 🤙 🤙🏻 🤙🏼 🤙🏽 🤙🏾 🤙🏿
call機	call機 📟
pizza	pizza 🍕
㖿	㖿 ✌
㞎㞎	㞎㞎 💩
㡌	㡌 🤠
䌽帶	䌽帶 💝
一	一 1️⃣
一人	一人 👤
一個人	一個人 👤
一分鐘	一分鐘 ☝
一定	一定 🙆
一家	一家 👨‍👩‍👧‍👧
一家三口	一家三口 👨‍👩‍👧
一家四口	一家四口 👨‍👩‍👧‍👧
一小會	一小會 ☝
一捲報紙	一捲報紙 🗞
一摞書	一摞書 📚
一摞課本	一摞課本 📚
一束花	一束花 💐
一百分	一百分 💯
一碗飯	一碗飯 🍚
一碗麵	一碗麵 🍜
一群人	一群人 👥
一邊去	一邊去 😛
一陣間	一陣間 ☝
一點	一點 🕐
一點半	一點半 🕜
七	七 7️⃣
七夕	七夕 🎋
七夕樹	七夕樹 🎋
七星瓢蟲	七星瓢蟲 🐞
七點	七點 🕖
七點半	七點半 🕢
丅恤	丅恤 🎽
丅裇	丅裇 👕
三	三 3️⃣
三叉戟	三叉戟 🔱
三口	三口 👨‍👨‍👦 👨‍👨‍👧 👨‍👩‍👦 👨‍👩‍👧 👩‍👩‍👦 👩‍👩‍👧 👪
三戟叉	三戟叉 🔱
三葉草	三葉草 ☘
三角尺	三角尺 📐
三角旗	三角旗 🚩
三點	三點 🕒
三點半	三點半 🕞
三點裝	三點裝 👙
上	上 ☝ ☝🏻 ☝🏼 ☝🏽 ☝🏾 ☝🏿 ⬆ 🆙 👆 👆🏻 👆🏼 👆🏽 👆🏾 👆🏿 🔺
上一曲	上一曲 ⏮
上一首	上一首 ⏮
上下	上下 ↕
上下顛倒	上下顛倒 🙃
上山	上山 🚵 🚵🏻 🚵🏼 🚵🏽 🚵🏾 🚵🏿
上廁所	上廁所 🚾
上弦月	上弦月 🌓 🌛
上邊	上邊 👆
上鎖	上鎖 🔒
上面	上面 👆
上頭	上頭 👆
下	下 ⬇ 👇 👇🏻 👇🏼 👇🏽 👇🏾 👇🏿 🔻
下一曲	下一曲 ⏭
下一首	下一首 ⏭
下午好	下午好 🙂
下大雨	下大雨 ☔
下弦月	下弦月 🌗 🌜
下載	下載 📩
下載郵件	下載郵件 📩
下邊	下邊 👇
下雨	下雨 ☔
下雪	下雪 🌨
下面	下面 👇
下頭	下頭 👇
不	不 🙅
不一定	不一定 😕
不丹	不丹 🇧🇹
不信	不信 😳
不可	不可 🚱
不可能	不可能 😟
不可飲用	不可飲用 🚱
不告訴你	不告訴你 😏
不哭	不哭 🤗
不好	不好 🙅
不好吧	不好吧 😰
不好意思	不好意思 🙏
不好玩	不好玩 😴
不屑	不屑 😏
不幹	不幹 🙅
不得	不得 🚫
不懂	不懂 😵
不敢看	不敢看 🙈
不敢聽	不敢聽 🙉
不敢説	不敢説 🙊
不是吧	不是吧 😿
不曉得	不曉得 😲
不會	不會 😝
不會吧	不會吧 😦
不會啦	不會啦 😝
不清楚	不清楚 😲
不準	不準 🚫
不準吸煙	不準吸煙 🚭
